Name,Team,IP,K%,BB%,BABIP,GB%,LD%,FB%,IFFB%,EV,Soft%,Med%,Hard%,FB%,SL%,CT%,CB%,CH%,SF%,KN%,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Swing%,Contact%,Zone%,F-Strike%,SwStr%,LOB%,FBv,SLv,CTv,CBv,CHv,SFv,KNv,Z-Swing%,O-Contact%,Z-Contact%,Pace,playerid
Clayton Kershaw,Dodgers,1995,0.28,0.056,0.267,0.469,0.199,0.332,0.119,86.9,0.214,0.507,0.279,0.564,0.29,,0.13,0.017,,,1.07,1.88,,1.69,-0.15,,,0.324,0.492,0.744,0.479,0.664,0.126,0.799,92.7,86.4,,73.6,84.5,,,0.674,0.568,0.835,22.3,2036
Jose Fernandez,Marlins,471.1,0.312,0.074,0.292,0.43,0.245,0.325,0.077,88.9,0.178,0.518,0.305,0.551,0.213,,0.126,0.11,,,0.57,3.46,,0.31,0.82,,,0.326,0.468,0.728,0.466,0.616,0.127,0.772,95.2,83.7,,81.4,87.9,,,0.631,0.537,0.841,20.4,11530
Jacob deGrom,Mets,1101.2,0.286,0.061,0.291,0.452,0.217,0.33,0.11,86.9,0.209,0.497,0.295,0.561,0.22,,0.083,0.136,,,0.94,1.55,,0.51,1.63,,,0.348,0.506,0.736,0.446,0.65,0.134,0.793,95.1,90.3,,81.4,87.5,,,0.703,0.6,0.819,21.9,10954
Mike Soroka,Braves,200.1,0.2,0.059,0.289,0.502,0.247,0.251,0.123,88.3,0.183,0.464,0.353,0.641,0.24,,,0.119,,,1,1.14,,,1.66,,,0.335,0.48,0.785,0.429,0.629,0.103,0.774,92.5,83.5,,,81.4,,,0.674,0.647,0.876,22.9,18383
Walker Buehler,Dodgers,318.2,0.288,0.058,0.27,0.458,0.207,0.335,0.067,88.6,0.18,0.432,0.388,0.6,0.138,0.116,0.128,0.018,,,1.4,1.8,1.16,-0.08,-3.79,,,0.334,0.494,0.764,0.467,0.649,0.117,0.749,96.4,86.9,92.4,80.5,90.3,,,0.676,0.617,0.847,22.5,19374
Rich Hill,- - -,465.1,0.293,0.077,0.265,0.418,0.188,0.394,0.136,87.2,0.21,0.451,0.339,0.534,0.05,0.013,0.391,0.012,0.001,,1.13,-0.27,1.42,0.73,4.53,2.45,,0.29,0.454,0.76,0.504,0.63,0.109,0.806,89.6,75.4,85.1,74.2,83,82.8,,0.615,0.653,0.81,21.3,4806
Cliff Lee,- - -,960,0.241,0.034,0.3,0.447,0.201,0.352,0.1,,0.191,0.536,0.273,0.565,0.009,0.203,0.082,0.141,,,1.15,-0.59,-0.3,0.58,0.95,,,0.317,0.486,0.818,0.539,0.683,0.089,0.757,91.1,80,86.6,74.7,84.3,,,0.632,0.691,0.872,20.7,1636
Hyun-Jin Ryu,Dodgers,736.1,0.22,0.054,0.297,0.482,0.217,0.301,0.091,87,0.18,0.486,0.333,0.458,0.08,0.104,0.13,0.229,,,-0.02,0.59,0.13,0.47,1.93,,,0.325,0.459,0.783,0.42,0.604,0.099,0.785,90.5,82.5,86.9,72.4,80.5,,,0.646,0.676,0.858,22.2,14444
Johnny Cueto,- - -,1511,0.205,0.065,0.277,0.463,0.207,0.33,0.109,87.5,0.206,0.521,0.274,0.514,0.138,0.16,0.032,0.156,,,0.74,-0.43,0.57,-0.93,0.81,,,0.329,0.476,0.801,0.416,0.622,0.094,0.777,92.4,84.1,87.6,80.4,83,,,0.682,0.698,0.871,21.3,6893
Chris Sale,- - -,1534.1,0.308,0.055,0.295,0.427,0.21,0.363,0.106,87.1,0.187,0.527,0.286,0.53,0.278,,0,0.193,,,0.62,1.04,,-0.52,1.57,,,0.343,0.478,0.726,0.461,0.645,0.131,0.77,93.4,79.1,,75,85,,,0.636,0.598,0.807,20.2,10603
Justin Verlander,- - -,2142,0.262,0.066,0.273,0.372,0.202,0.426,0.124,87.8,0.194,0.522,0.284,0.568,0.16,0.001,0.162,0.109,,,0.7,1.5,-8.67,0.69,0.43,,,0.332,0.488,0.765,0.444,0.635,0.115,0.766,94.2,86.8,91.3,79.4,85.3,,,0.682,0.66,0.829,23.4,8700
Max Scherzer,- - -,2063.2,0.295,0.064,0.287,0.37,0.197,0.433,0.113,87,0.196,0.514,0.29,0.562,0.187,0.02,0.059,0.172,,,0.7,2.06,-0.8,-0.42,0.15,,,0.328,0.496,0.729,0.472,0.648,0.134,0.776,93.8,85.3,89.1,78.1,84.2,,,0.683,0.589,0.805,23,3137
Madison Bumgarner,Giants,1836,0.239,0.057,0.284,0.431,0.2,0.369,0.098,88.7,0.181,0.511,0.308,0.454,0.339,,0.147,0.061,,,0.28,1.07,,0.52,0.38,,,0.325,0.485,0.782,0.453,0.642,0.106,0.763,91.4,87.1,,76.7,83.8,,,0.679,0.629,0.87,23,5524
Mike Clevinger,Indians,481,0.275,0.093,0.285,0.398,0.221,0.381,0.108,87.1,0.189,0.469,0.342,0.532,0.213,,0.113,0.141,,,0.31,1.77,,0.72,0.3,,,0.299,0.448,0.716,0.42,0.639,0.127,0.791,93.8,80.6,,76,87.2,,,0.655,0.574,0.806,22.2,12808
Kyle Hendricks,Cubs,964,0.209,0.056,0.279,0.475,0.215,0.309,0.099,86.5,0.218,0.494,0.288,0.64,,0.018,0.081,0.261,,,0.51,,-1.78,-0.44,1.5,,,0.325,0.446,0.795,0.429,0.652,0.091,0.76,87.3,,86.2,73.9,79.2,,,0.608,0.69,0.87,20.5,12049
Corey Kluber,Indians,1332.1,0.271,0.054,0.297,0.447,0.22,0.333,0.089,87.1,0.186,0.521,0.293,0.482,,0.264,0.19,0.064,,,-0.8,,1.64,3.32,0.67,,,0.343,0.481,0.739,0.448,0.628,0.126,0.748,92.7,,88.8,83.4,85,,,0.65,0.55,0.861,23.1,2429
Stephen Strasburg,Nationals,1438.2,0.291,0.065,0.293,0.46,0.211,0.329,0.088,88,0.197,0.513,0.29,0.574,0.037,,0.213,0.176,,,0.36,-0.17,,1.63,1.53,,,0.33,0.47,0.748,0.45,0.633,0.118,0.748,95.1,88.9,,81.2,88.4,,,0.641,0.584,0.851,22.8,10131
Zack Greinke,- - -,1984,0.234,0.055,0.286,0.468,0.209,0.323,0.092,87.6,0.183,0.506,0.311,0.521,0.166,0.027,0.129,0.157,,,0.31,0.88,0.07,0.64,1.61,,,0.33,0.459,0.771,0.409,0.631,0.105,0.756,91.7,84.8,87.6,72.7,87,,,0.645,0.639,0.868,23.5,1943
Jack Flaherty,Cardinals,367.2,0.293,0.084,0.254,0.411,0.216,0.372,0.127,86.6,0.212,0.421,0.367,0.57,0.283,,0.118,0.03,,,1.21,1.62,,-0.18,-3.01,,,0.314,0.47,0.711,0.426,0.593,0.136,0.802,93.3,84.3,,77.8,86.2,,,0.68,0.554,0.809,23.5,17479
Gerrit Cole,- - -,1195,0.276,0.065,0.303,0.447,0.218,0.335,0.102,87.8,0.2,0.5,0.301,0.614,0.187,,0.135,0.064,,,0.87,0.7,,0.14,0.1,,,0.309,0.478,0.758,0.467,0.628,0.116,0.756,96.1,88.2,,82.3,88.2,,,0.671,0.587,0.848,22,13125
Blake Snell,Rays,506,0.28,0.102,0.294,0.418,0.215,0.367,0.103,87.3,0.192,0.469,0.339,0.529,0.103,,0.171,0.197,,,0.22,-0.02,,1.37,1.24,,,0.325,0.449,0.694,0.386,0.586,0.138,0.763,94.9,86,,80.1,86.5,,,0.646,0.54,0.817,24.1,13543
